entry_id	hebrew	translit	pos	definition	etym_type	etym_root	xref_bdb	xref_strong	xref_aug	xref_twot
aaa	א	ʾ			main		a.aa.aa			
aab	אֵב	ʾēb	N	freshness	sub		a.ab.ab	3		1a
aac	אָב	ʾāb	N	father	sub		a.ae.ab	1		4a
aad	אבב	ʾbb			main	אבב	a.ab.aa			1
aae	אֲבַגְתָא	ʾăbagtāʾ	Np	Abagtha			a.ab.ae	5		
aaf	אָבַד	ʾābad	V	perish	main	אבד	a.ac.aa	6		2
aag	אֹבֵד	ʾōbēd	N	destruction	sub		a.ac.ab	8		2a
aah	אֲבֵדָה	ʾăbēdâ	N	a lost thing	sub		a.ac.ac	9		2b
aai	אבדה	ʾbdh	N	Destruction	sub		a.ac.af	10		2d
aaj	אֲבַדּוֹן	ʾăbaddôn	Np	Destruction	sub		a.ac.af	11		2d
aak	אַבְדָ֑ן	ʾabdān	N	destruction	sub		a.ac.ae	12		2c
aal	אׇבְדַן	ʾobdan	N	destruction	sub		a.ac.ae	13		2c
aam	אֵ֫בֶה	ʾēbeh	N	reed	sub		a.ad.ad	16		3c
aan	אָבָה	ʾābâ	V	be willing	main	אבה	a.ad.aa	14		3
aao	אבה	ʾbh			main	אבה	a.ae.aa			4
aap	אֲבוֹי	ʾăbôy	Tj	Oh!	main		a.af.aa	17		3d
aaq	אֵבוּס	ʾēbûs	N	crib	sub		a.an.ab	18		10a
aar	אבח	ʾbḥ			main	אבח	a.ag.aa			
aas	אִבְחָה	ʾibḥâ	N	slaughter	sub		a.ag.ab	19		786b
aat	אֲבַטִּחִים	ʾăbaṭṭiḥîm	N	water-melons	sub		b.bj.ab	20		234a
aau	אֲבִי	ʾăbî	Np	Abi			a.ae.ai	21		
aav	אֲבִי גִבְעוֹן	ʾăbî gibʿôn	Np	father of Gibeon			c.al.aj	25		
aaw	אֲבִי הָעֶזְרִי	ʾăbî hāʿezrî	Ag	Abiezrite			a.ae.au	33		
aax	אֲבִיאֵל	ʾăbîʾēl	Np	Abiel			a.ae.ad	22		
aay	אֲבִיאָסָף	ʾăbîʾāsāp	Np	Abiasaph			a.ae.ae	23		
aaz	אָבִיב	ʾābîb	N	green	sub		a.ab.ac	24		1b
aba	אֲבִיגַ֫יִל	ʾăbîgayil	Np	Abigal			a.ae.af	26		
abb	אֲבִידָן	ʾăbîdān	Np	Abidan			a.ae.ag	27		
abc	אֲבִידָע	ʾăbîdāʿ	Np	Abida			a.ae.ah	28		
abd	אֲבִיָּ֫הוּ	ʾăbîyāhû	Np	Abiah			a.ae.ai	29		
abe	אֲבִיהוּא	ʾăbîhûʾ	Np	Abihu			a.ae.aj	30		
abf	אֲבִיהוּד	ʾăbîhûd	Np	Abihud			a.ae.ak	31		
abg	אֶבְיוֹן	ʾebyôn	A	in want	sub		a.ad.ab	34		3a
abh	אֲבִיּוֹנָה	ʾăbîyônâ	N	caper-berry	sub		a.ad.ac	35		3b
abi	אֲבִיחַ֫יִל	ʾăbîḥayil	Np	Abihail			a.ae.al	32		
abj	אֲבִיטוּב	ʾăbîṭûb	Np	Abitub			a.ae.am	36		
abk	אֲבִיטָ֑ל	ʾăbîṭāl	Np	Abital			a.ae.an	37		
abl	אֲבִיָּם	ʾăbîyām	Np	Abijam			a.ae.ai	38		
abm	אֲבִימָאֵל	ʾăbîmāʾēl	Np	Abimael			a.ae.ao	39		
abn	אֲבִימֶ֫לֶךְ	ʾăbîmelek	Np	Abimelech			a.ae.ap	40		
abo	אֲבִינָדָב	ʾăbînādāb	Np	Abinadab			a.ae.aq	41		
abp	אֲבִינֹ֫עַם	ʾăbînōʿam	Np	Abinoam			a.ae.ar	42		
abq	אֲבִינֵר	ʾăbînēr	Np	Abner			a.ae.as	74		
abr	אֶבְיָסָף	ʾebyāsāp	Np	Ebiasaph			a.ae.ae	43		
abs	אֲבִיעֶ֫זֶר	ʾăbîʿezer	Np	Abiezer			a.ae.at	44		
abt	אֲבִי־עַלְבוֹן	ʾăbî-ʿalbôn	Np	Abialbon			a.ae.ac	45		
abu	אַבִּיר	ʾabbîr	A	mighty	sub		a.aq.af	47		13d
abv	אָבִיר	ʾābîr	A	strong	sub		a.aq.ae	46		13c
abw	אֲבִירָם	ʾăbîrām	Np	Abiram			a.ae.av	48		
abx	אֲבִישַׁג	ʾăbîšag	Np	Abishag			a.ae.ax	49		
aby	אֲבִישׁוּעַ	ʾăbîšûaʿ	Np	Abishua			a.ae.ay	50		
abz	אֲבִישׁוּר	ʾăbîšûr	Np	Abishur			a.ae.az	51		
aca	אֲבִישַׁי	ʾăbîšay	Np	Abishai			a.ae.ba	52		
acb	אֲבִישָׁלוֹם	ʾăbîšālôm	Np	Abishalom			a.ae.bb	53		
acc	אֶבְיָתָר	ʾebyātār	Np	Abiathar			a.ae.bc	54		
acd	אָבַךְ	ʾābak	V	turn	main	אבך	a.ah.aa	55		5
ace	אֲבָל	ʾăbāl	D	nay	main	אבל	a.ak.aa	61		8
acf	אֵ֫בֶל	ʾēbel	N	mourning	sub		a.ai.ab	60		6a
acg	אָבֵל	ʾābēl	Np	Abel	sub		a.aj.ab	59		
ach	אָבֵל	ʾābēl	N	a meadow	sub		a.aj.ab	58		
aci	אָבֵל	ʾābēl	A	mourning	sub		a.ai.ad	57		6b
acj	אָבַל	ʾābal	V	mourn	main	אבל	a.ai.aa	56		6
ack	אבל	ʾbl			main	אבל	a.al.aa			
acl	אבל	ʾbl			main	אבל	a.aj.aa			7
acm	אָבֵל בֵּית־מֲעַכָה	ʾābēl bêt-măʿakâ	Np	Abel-beth-maachah			a.aj.ab	62		
acn	אָבֵל הַשִּׁטִּים	ʾābēl haššiṭṭîm	Np	Abelshittim			a.aj.ab	63		
aco	אָבֵל כְּרָמִים	ʾābēl kĕrāmîm	Np	plain of the vineyards			a.aj.ab	64		
acp	אָבֵל מְחוֹלָה	ʾābēl mĕḥôlâ	Np	Abel-meholah			a.aj.ab	65		
acq	אַבֵל מַיִם	ʾabēl mayim	Np	Abel-maim			a.aj.ab	66		
acr	אָבֵל מִצְרַיִם	ʾābēl miṣrayim	Np	Abel-mizraim			a.aj.ab	67		
acs	אֶ֫בֶן	ʾeben	N	stone	main	אבן	a.am.aa	68		9
act	אֹבֶן	ʾōben	N	wheel	sub		a.am.ab	70		9a
acu	אֶבֶן הָעֵזֶר	ʾeben hāʿēzer	N	Ebenezer	sub		a.am.aa	72		9
acv	אֲבָנָה	ʾăbānâ	Np	Abana			a.dy.aj	71		
acw	אַבְנֵט	ʾabnēṭ	N	girdle	sub		b.cc.ab	73		256a
acx	אָבַס	ʾābas	V	feed	main	אבס	a.an.aa	75		10
acy	אֲבַעְבֻּעֹת	ʾăbaʿbuʿōt	N	blisters	sub		b.at.ab	76		217a
acz	אֶ֫בֶץ	ʾebeṣ	Np	Abez			a.ao.ab	77		
ada	אבץ	ʾbṣ			main	אבץ	a.ao.aa			
adb	אִבְצָן	ʾibṣān	Np	Ibzan			a.ao.ac	78		
adc	אָבַק	ʾābaq	V	wrestle	main	אבק	a.ap.ad	79		12
add	אָבָק	ʾābāq	N	dust	sub		a.ap.ab	80		11a
ade	אבק	ʾbq			main	אבק	a.ap.aa			11
adf	אֲבָקָה	ʾăbāqâ	N	powders	sub		a.ap.ac	81		11b
adg	אֵ֫בֶר	ʾēber	N	pinions	sub		a.aq.ab	83		13a
adh	אָבַר	ʾābar	V	fly	sub		a.aq.ad	82		13b
adi	אבר	ʾbr			main	אבר	a.aq.aa			13
adj	אֶבְרָה	ʾebrâ	N	pinion	sub		a.aq.ac	84		13a
adk	אַבְרָהָם	ʾabrāhām	Np	Abraham	sub		a.ae.aw	85		4b
adl	אַבְרֵךְ	ʾabrēk	V	kneel	main	אברך	a.ar.aa	86		14
adm	אַבְרָם	ʾabrām	Np	Abram	sub		a.ae.aw	87		
adn	אֹבֹת	ʾōbōt	Np	Oboth			a.bp.ac	88		
ado	אָגֵא	ʾāgēʾ	Np	Agee			a.as.ab	89		
adp	אגא	ʾgʾ			main	אגא	a.as.aa			
adq	אֲגָג	ʾăgāg	Np	Agag			a.as.ac	90		
adr	אֲגָגִי	ʾăgāgî	Ag	Agagite			a.as.ad	91		
ads	אגד	ʾgd			main	אגד	a.at.aa			15
adt	אֲגֻדָּה	ʾăguddâ	N	band	sub		a.at.ab	92		15a
adu	אֱגוֹז	ʾĕgôz	N	nuts	single		a.at.ac	93		16
adv	אָגוּר	ʾāgûr	Np	Agur			a.az.ab	94		
adw	אֲגוֹרָה	ʾăgôrâ	N	payment	sub		a.az.ac	95		23a
adx	אֵ֫גֶל	ʾēgel	N	drop	sub		a.au.ab	96		17a
ady	אגל	ʾgl			main	אגל	a.au.aa			17
adz	אֶגְלַ֫יִם	ʾeglayim	Np	Eglaim			a.au.ac	97		
aea	אֲגַם	ʾăgam	N	troubled pool	sub		a.av.ab	98		18a
aeb	אָגֵם	ʾāgēm	A	sad	sub		a.av.ac	99		18b
aec	אגם	ʾgm			main	אגם	a.av.aa			18
aed	אַגְמֹן	ʾagmōn	N	rush	single		a.av.ad	100		19
aee	אַגָּן	ʾaggān	N	bowl	sub		a.aw.ab	101		20a
aef	אגן	ʾgn			main	אגן	a.aw.aa			20
aeg	אֲגַף	ʾăgap	N	band	sub		a.ax.ab	102		21a
aeh	אגף	ʾgp			main	אגף	a.ax.aa			21
aei	אָגַר	ʾāgar	V	gather	main	אגר	a.ay.aa	103		22
aej	אגר	ʾgr			main	אגר	a.az.aa			23
aek	אֲגַרְטָל	ʾăgarṭāl	N	basin	sub		c.cz.ab	105		380a
ael	אֶגְרֹף	ʾegrōp	N	fist	sub		c.de.ab	106		385a
aem	אִגֶּ֫רֶת	ʾiggeret	N	letter	sub		a.az.ad	107		23b
aen	אֵד	ʾēd	N	mist	sub		a.bq.ae	108		38d
aeo	אָדַב	ʾādab	V	grieve	main	אדב	a.ba.aa	109		24
aep	אַדְבְּאֵל	ʾadbĕʾēl	Np	Adbeel			a.ba.ab	110		
aeq	אֲדַד	ʾădad	Np	Hadad			e.an.ad	111		
aer	אדד	ʾdd			main	אדד	a.bb.aa			
aes	אִדּוֹ	ʾiddô	Np	Iddo			a.bb.ab	112		
aet	אֱדוֹם	ʾĕdôm	Np	Edom	sub		a.bd.af	123		26e
aeu	אַדּוֹן	ʾaddôn	Np	Addon			a.be.ae	114		
aev	אָדוֹן	ʾādôn	N	lord	sub		a.be.ac	113		27b
aew	אֲדוֹרַ֫יִם	ʾădôrayim	Np	Adoraim			a.bf.ac	115		
aex	אַדִּיר	ʾaddîr	A	majestic	sub		a.bf.ae	117		28b
aey	אֲדַלְיָא	ʾădalyāʾ	Np	Adalia			a.bb.ad	118		
aez	אֱדֹם	ʾĕdōm	N	rosy	sub		a.bd.ae	122	b	26d
afa	אָדָם	ʾādām	Np	Adam	sub		a.bc.ab	121		25a
afb	אָדָם	ʾādām	N	man	sub		a.bc.ab	120		25a
afc	אָדֹם	ʾādōm	A	red	sub		a.bd.ac	122	a	26b
afd	אָדֹם	ʾādōm	V	be red	sub		a.bd.ab	119		26a
afe	אֹ֫דֶם	ʾōdem	N	carnelian	sub		a.bd.ad	124		26c
aff	אדם	ʾdm			main	אדם	a.bc.aa			25
afg	אדם	ʾdm			main	אדם	a.bd.aa			26
afh	אֲדַמְדָּם	ʾădamdām	A	reddish	sub		a.bd.ah	125		26g
afi	אֲדָמָה	ʾădāmâ	Np	Adamah			a.bc.ac	128		
afj	אֲדָמָה	ʾădāmâ	N	ground	sub		a.bc.ac	127		25b
afk	אַדְמָה	ʾadmâ	Np	Admah			a.bc.ad	126		
afl	אַדְמוֹנִי	ʾadmônî	A	red	sub		a.bd.ai	132		26h
afm	אֲדֹמִי	ʾădōmî	A	Edomite	sub		a.bd.ag	130		26f
afn	אֲדָמִי הַנֶּ֫קֶב	ʾădāmî hanneqeb	Np	Adami			a.bc.ae	129		
afo	אֲדֻמִּים	ʾădummîm	Np	Adummim			p.cs.al	131		
afp	אַדְמָתָא	ʾadmātāʾ	Np	Admatha			a.bd.ak	133		
afq	אֶ֫דֶן	ʾeden	N	base	sub		a.be.ab	134		27a
afr	אַדָּן	ʾaddān	Np	Addan			a.be.ad	135		
afs	אדן	ʾdn			main	אדן	a.be.aa			27
aft	אֲדֹנָי	ʾădōnāy	N	lord	sub		a.be.ac	136		27b
afu	אֲדֹנִי־בֶ֫זֶק	ʾădōnî-bezeq	Np	Adonibezek			a.be.af	137		
afv	אֲדֹנִיָּ֫הוּ	ʾădōnîyāhû	Np	Adonijah			a.be.ah	138		
afw	אֲדֹנִי־צֶ֫דֶק	ʾădōnî-ṣedeq	Np	Adonizedec			a.be.ag	139		
afx	אֲדֹנִיקָם	ʾădōnîqām	Np	Adonikam			a.be.ai	140		
afy	אֲדֹנִירָם	ʾădōnîrām	Np	Adoniram			a.be.aj	141		
afz	אֲדָר	ʾădār	Np	Adar			a.bf.ag	143		
aga	אֶ֫דֶר	ʾeder	N	amplitude	sub		a.bf.ab	145		28a
agb	אַדָּר	ʾaddār	Np	Addar			a.bf.ad	146		
agc	אָדַר	ʾādar	V	wide	main	אדר	a.bf.aa	142		28
agd	אֲדַרְכֹּן	ʾădarkōn	N	drachma	single		d.ci.ad	150		28.1
age	אֲדֹרָם	ʾădōrām	Np	Adoram			a.be.ak	151		
agf	אַדְרַמֶּ֫לֶךְ	ʾadrammelek	Np	Adrammelech			a.bf.ah	152		
agg	אֶדְרֶ֫עִי	ʾedreʿî	Np	Edrei			d.cj.ab	154		
agh	אַדֶּ֫רֶת	ʾadderet	N	glory	sub		a.bf.af	155		28c
agi	אָדַשׁ	ʾādaš	V	tread	main	אדשׁ	a.bg.aa	156		419
agj	אַ֫הַב	ʾahab	N	love	sub		a.bh.ab	158		29a
agk	אָהֵב	ʾāhēb	V	love	main	אהב	a.bh.aa	157		29
agl	אֹ֫הַב	ʾōhab	N	amours	sub		a.bh.ac	159		29b
agm	אַהֲבָה	ʾahăbâ	N	love	sub		a.bh.ad	160		29c
agn	אֹ֫הַד	ʾōhad	Np	Ohad			a.bi.ab	161		
ago	אהד	ʾhd			main	אהד	a.bi.aa			
agp	אֲהָהּ	ʾăhāh	Tj	alas!	main		a.bj.aa	162		30
agq	אַהֲוָא	ʾahăwāʾ	Np	Ahava			a.bj.ab	163		
agr	אֵהוּד	ʾēhûd	Np	Ehud			a.bi.ac	164		
ags	אֱהִי	ʾĕhî	D	where?	main		a.bk.aa	165		31
agt	אָהַל	ʾāhal	V	be clear	main	אהל	a.bm.aa	166		33
agu	אָהַל	ʾāhal	V	tent	sub		a.bl.ac	167		32
agv	אָהָל	ʾāhāl	N	aloe	main	אהל	a.bn.aa	174		34
agw	אֹ֫הֶל	ʾōhel	Np	Ohel			a.bl.ab	169		
agx	אֹ֫הֶל	ʾōhel	N	tent	sub		a.bl.ab	168		32a
agy	אהל	ʾhl			main	אהל	a.bl.aa			
agz	אׇהֳלָה	ʾohŏlâ	Np	Oholah	sub		a.bl.ad	170		32b
aha	אׇהֳלִיאָב	ʾohŏlîʾāb	Np	Oholiab			a.bl.ae	171		
ahb	אׇהֳלִיבָה	ʾohŏlîbâ	Np	Oholibah	sub		a.bl.af	172		32c
ahc	אׇהֳלִיבָמָה	ʾohŏlîbāmâ	Np	Oholibamah			a.bl.ag	173		
ahd	אַהֲרֹן	ʾahărōn	Np	Aaron	single		a.bn.ab	175		35
ahe	אוֹ	ʾô	N	desire	sub		a.bs.ab	176	b	40a
ahf	אוֹ	ʾô	C	or	main		a.bo.aa	176	a	36
ahg	אוּאֵל	ʾûʾēl	Np	Uel			a.bo.ab	177		
ahh	אוֹב	ʾôb	N	skin-bottle	sub		a.bp.ab	178		37a
ahi	אוב	ʾwb			main	אוב	a.bp.aa			37
ahj	אוֹבִיל	ʾôbîl	Np	Obil			a.al.ab	179		
ahk	אוּבַל	ʾûbal	N	stream	sub		j.ah.aj	180		835g
ahl	אוּד	ʾûd	N	brand	sub		a.bq.ab	181		38a
ahm	אוד	ʾwd			main	אוד	a.bq.aa			38
ahn	אוֹדָה	ʾôdâ	N	cause	sub		a.bq.ac	182		38b
aho	אַוָּה	ʾawwâ	N	desire	sub		a.bs.ac	185		40b
ahp	אָוָה	ʾāwâ	V	sign	main	אוה	a.bt.aa	184		41
ahq	אָוָה	ʾāwâ	V	incline	main	אוה	a.bs.aa	183		40
ahr	אוה	ʾwh			main	אוה	a.bv.aa			43
ahs	אוה	ʾwh			main	אוה	a.br.aa			39
aht	אוּזַי	ʾûzay	Np	Uzai			a.bt.ac	186		
ahu	אוּזָל	ʾûzāl	Np	Uzal			a.cf.ac	187		
ahv	אֱוִי	ʾĕwî	Np	Evi			a.bs.ad	189		
ahw	אוֹי	ʾôy	Tj	woe!	main		a.bu.aa	188		42
ahx	אוֹיָה	ʾôyâ	Tj	woe!	sub		a.bu.ab	190		
ahy	אֱוִיל	ʾĕwîl	A	foolish	sub		a.bw.ab	191		44a
ahz	אֱוִיל מְרֹדַךְ	ʾĕwîl mĕrōdak	Np	Evil-merodach			a.bv.ae	192		
aia	אוּל	ʾûl	N	body	sub		a.bx.ab	193	a	45a
aib	אוּל	ʾûl	N	leading man	sub		a.bx.ac	193	b	45b
aic	אול	ʾwl			main	אול	a.bw.aa			44
aid	אול	ʾwl			main	אול	a.bx.aa			45
aie	אֱוִלִי	ʾĕwilî	A	silly	sub		a.bw.ac	196		44b
aif	אוּלַי	ʾûlay	D	if not	main		a.by.aa	194		46
aig	אוּלַי	ʾûlay	Np	Ulai			a.bx.aw	195		
aih	אוּלָם	ʾûlām	D	but	main	אלם	a.bz.aa	199		47
aii	אוּלָם	ʾûlām	Np	Ulam			a.bx.ae	198		
aij	אוּלָם	ʾûlām	N	porch	sub		a.bx.ad	197		45c
aik	אִוֶּ֫לֶת	ʾiwwelet	N	folly	sub		a.bw.ad	200		44c
ail	אוֹמָר	ʾômār	Np	Omar			a.ea.ae	201		
aim	אָ֫וֶן	ʾāwen	Np	Aven			a.ca.ab	206		
ain	אָ֫וֶן	ʾāwen	N	trouble	sub		a.ca.ab	205		48a
aio	אוֹן	ʾôn	Np	On			a.cb.ac	203		
aip	אוֹן	ʾôn	N	vigour	sub		a.cb.ab	202		49a
aiq	און	ʾwn			main	און	a.ca.aa			48
air	און	ʾwn			main	און	a.cb.aa			49
ais	אוֹנוֹ	ʾônô	Np	Ono			a.cb.ad	207		
ait	אוֹנָם	ʾônām	Np	Onam			a.cb.ae	208		
aiu	אוֹנָן	ʾônān	Np	Onan			a.cb.af	209		
aiv	אוּפָז	ʾûpāz	Np	Uphaz			a.cb.ai	210		
aiw	אוֹפִיר	ʾôpîr	Np	Ophir	single		a.cb.aj	211		50
aix	אוֹפָן	ʾôpān	N	wheel	sub		a.fc.ab	212		146a
aiy	אוּץ	ʾûṣ	V	press	main	אוץ	a.cc.aa	213		51
aiz	אוֹצָר	ʾôṣār	N	treasure	sub		a.fl.ac	214		154a
aja	אוֹר	ʾôr	N	light	sub		a.cd.ab	216		52a
ajb	אוֹר	ʾôr	V	be light	main	אור	a.cd.aa	215		52
ajc	אוּר	ʾûr	Np	Ur			a.cd.aq	218	b	
ajd	אוּר	ʾûr	Np	Ur			a.cd.ah	218	a	
aje	אוּר	ʾûr	N	flame	sub		a.cd.ae	217	a	52d
ajf	אֲוֵרָה	ʾăwērâ	N	manger	sub		a.fo.ac	220		158b
ajg	אוֹרָה	ʾôrâ	N	herb	sub		a.cd.ad	219	b	52c
ajh	אוֹרָה	ʾôrâ	N	light	sub		a.cd.ac	219	a	52b
aji	אוּרִי	ʾûrî	Np	Uri			a.cd.ai	221		
ajj	אוּרִיאֵל	ʾûrîʾēl	Np	Uriel			a.cd.aj	222		
ajk	אוּרִיָּה	ʾûrîyâ	Np	Uriah			a.cd.ak	223	a	
ajl	אוּרִיָּ֫הוּ	ʾûrîyāhû	Np	Urijah			a.cd.al	223	b	
ajm	אוּרִים	ʾûrîm	N	Urim	sub		a.cd.ag	224		52e
ajn	אוֹת	ʾôt	N	sign	sub		a.bt.ab	226		41a
ajo	אוּת	ʾût	V	consent	main	אות	a.ce.aa	225		53
ajp	אָז	ʾāz	D	at that time	main		a.ce.ac	227	a	54
ajq	אֶזְבָּ֑י	ʾezbāy	Np	Ezbai			a.ce.af	229		
ajr	אֵזוֹב	ʾēzôb	N	hyssop	single		a.ce.ag	231		55
ajs	אֵזוֹר	ʾēzôr	N	waistcloth	sub		a.ci.ab	232		59a
ajt	אֲזַי	ʾăzay	D	then	sub		a.ce.ae	233		54
aju	אַזְכָּרָה	ʾazkārâ	N	memorial-offering	sub		g.bh.ak	234		551d
ajv	אֶזֶל	ʾezel	Np	Ezel			a.cf.ab	237		
ajw	אָזַל	ʾāzal	V	go	main	אזל	a.cf.aa	235		56
ajx	אָזֵן	ʾāzēn	N	implements	sub		a.cg.ad	240		57b
ajy	אָזַן	ʾāzan	V	weigh	main	אזן	a.ch.aa	239		58
ajz	אָזַן	ʾāzan	V	give ear	sub		a.cg.ac	238		57
aka	אֹ֫זֶן	ʾōzen	N	ear	sub		a.cg.ab	241		57a
akb	אזן	ʾzn			main	אזן	a.cg.aa			
akc	אֻזֵּן שֶׁאֱרָה	ʾuzzēn šeʾĕrâ	Np	Uzzen-sherah			a.ch.ac	242		
akd	אַזְנוֹת תָּבוֹר	ʾaznôt tābôr	Np	Aznoth-tabor			a.cg.ah	243		
ake	אׇזְנִי	ʾoznî	Np	Ozni			a.cg.ae	244	a	
akf	אׇזְנִי	ʾoznî	Ag	Ozni			a.cg.af	244	b	
akg	אֲזַנְיָ֫הוּ	ʾăzanyāhû	Np	Azaniah			a.cg.ag	245		
akh	אֲזֵק	ʾăzēq	N	manacle	sub		g.cg.ac	246		577b
aki	אָזַר	ʾāzar	V	gird	main	אזר	a.ci.aa	247		59
akj	אֶזְרוֹעַ	ʾezrôaʿ	N	arm	sub		g.cm.ac	248		583b
akk	אֶזְרָח	ʾezrāḥ	N	a native	sub		g.cj.af	249		580b
akl	אֶזְרָחִי	ʾezrāḥî	Ag	Ezrachite			g.cj.ag	250		
akm	אָח	ʾāḥ	N	fire-pot	sub		a.cn.ab	254		66a
akn	אָח	ʾāḥ	N	brother	sub		a.ck.ab	251		62a
ako	אָח	ʾāḥ	Tj	ah!	single		a.ci.ah	253		60
akp	אֹחַ	ʾōaḥ	N	jackal	sub		a.cm.ab	255		65a
akq	אַחְאָב	ʾaḥʾāb	Np	Ahab			a.ck.ac	256		
akr	אַחְבָן	ʾaḥbān	Np	Ahban			a.ck.ae	257		
aks	אֶחָד	ʾeḥād	A	one	main	אחד	a.cj.aa	259		61
akt	אָחַד	ʾāḥad	V	be sharp	main	אחד	h.aq.aa	258		605
aku	אחה	ʾḥh			main	אחה	a.ck.aa			62
akv	אָחוּ	ʾāḥû	N	reeds	single		a.ck.bh	260		63
akw	אֵחוּד	ʾēḥûd	Np	Ehud			a.cj.ab	261		
akx	אַחְוָה	ʾaḥwâ	N	declaration	sub		h.bc.ab	262		618a
aky	אַחֲוָה	ʾaḥăwâ	N	brotherhood	sub		a.ck.be	264		62b
akz	אֲחוֹחַ	ʾăḥôaḥ	Np	Ahoah			a.cn.ac	265		
ala	אֲחוֹחִי	ʾăḥôḥî	Ag	Achochite			a.cn.ad	266		
alb	אֲחוּמַי	ʾăḥûmay	Np	Ahumai			a.ck.af	267		
alc	אָחוֹר	ʾāḥôr	N	the hinder side	sub		a.cp.ae	268		68d
ald	אָחוֹת	ʾāḥôt	N	sister	sub		a.ck.bg	269		62c
ale	אָחַז	ʾāḥaz	V	grasp	main	אחז	a.cl.aa	270		64
alf	אָחָז	ʾāḥāz	Np	Ahaz			a.cl.ab	271		
alg	אֲחֻזָּה	ʾăḥuzzâ	N	possession	sub		a.cl.ac	272		64a
alh	אַחְזַי	ʾaḥzay	Np	Ahasai			a.cl.ad	273		
ali	אֲחַזְיָ֫הוּ	ʾăḥazyāhû	Np	Ahaziah			a.cl.ad	274		
alj	אֲחֻזָּם	ʾăḥuzzām	Np	Ahuzam			a.cl.ae	275		
alk	אֲחֻזַּת	ʾăḥuzzat	Np	Ahuzzath			a.cl.af	276		
all	אחח	ʾḥḥ			main	אחח	a.cn.aa			66
alm	אחח	ʾḥḥ			main	אחח	a.cm.aa			65
aln	אֲחִי	ʾăḥî	Np	Ahi			a.ck.ah	277		
alo	אֵחִי	ʾēḥî	Np	Ehi			a.cn.ae	278		
alp	אֲחִיאָם	ʾăḥîʾām	Np	Ahiam			a.ck.ag	279		
alq	אֲחִיָּ֫הוּ	ʾăḥîyāhû	Np	Ahiah			a.ck.ah	281		
alr	אֲחִיהוּד	ʾăḥîhûd	Np	Ahihud			a.ck.ai	282		
als	אַחְיוֹ	ʾaḥyô	Np	Ahio			a.ck.aj	283		
alt	אֲחִיחֻד	ʾăḥîḥud	Np	Ahihud			a.ck.ak	284		
alu	אֲחִיטוּב	ʾăḥîṭûb	Np	Ahitub			a.ck.al	285		
alv	אֲחִילוּד	ʾăḥîlûd	Np	Ahilud			a.ck.am	286		
alw	אֲחִימוֹת	ʾăḥîmôt	Np	Ahimoth			a.ck.an	287		
alx	אֲחִימֶ֫לֶךְ	ʾăḥîmelek	Np	Ahimelech			a.ck.ao	288		
aly	אֲחִימַן	ʾăḥîman	Np	Ahiman			a.ck.ap	289		
alz	אֲחִימַ֫עַץ	ʾăḥîmaʿaṣ	Np	Ahimaaz			a.ck.aq	290		
ama	אַחְיָן	ʾaḥyān	Np	Ahian			a.ck.ar	291		
amb	אֲחִינָדָב	ʾăḥînādāb	Np	Ahinadab			a.ck.as	292		
amc	אֲחִינֹ֫עַם	ʾăḥînōʿam	Np	Ahinoam			a.ck.at	293		
amd	אֲחִיסָמָךְ	ʾăḥîsāmāk	Np	Ahisamach			a.ck.au	294		
ame	אֲחִיעֶ֫זֶר	ʾăḥîʿezer	Np	Ahiezer			a.ck.av	295		
amf	אֲחִיקָם	ʾăḥîqām	Np	Ahikam			a.ck.aw	296		
amg	אֲחִירָם	ʾăḥîrām	Np	Ahiram			a.ck.ax	297		
amh	אֲחִירָמִי	ʾăḥîrāmî	Ag	Achiramite			a.ck.az	298		
ami	אֲחִירַע	ʾăḥîraʿ	Np	Ahira			a.ck.ba	299		
amj	אֲחִישָׁ֑חַר	ʾăḥîšāḥar	Np	Ahishar			a.ck.bb	300		
amk	אֲחִישָׁר	ʾăḥîšār	Np	Ahishar			a.ck.bc	301		
aml	אֲחִיתֹ֫פֶל	ʾăḥîtōpel	Np	Ahithophel			a.ck.bd	302		
amm	אחל	ʾḥl			main	אחל	a.co.aa			67
amn	אַחְלָב	ʾaḥlāb	Np	Ahlab			h.ck.ag	303		
amo	אַחְלָ֑י	ʾaḥlāy	Np	Ahlai			a.co.ab	304		
amp	אַחֲלַי	ʾaḥălay	Tj	ah that!	single		a.ci.ai	305		67a
amq	אַחְלָ֑מָה	ʾaḥlāmâ	N	amethyst	sub		a.co.ad	306		67b
amr	אֲחַסְבַּי	ʾăḥasbay	Np	Ahasbai			a.co.ae	308		
ams	אַחֵר	ʾaḥēr	Np	Aher			a.cp.ai	313		
amt	אַחֵר	ʾaḥēr	A	another	sub		a.cp.ab	312		68a
amu	אַחַר	ʾaḥar	D	the hinder	sub		a.cp.ac	310	a	68b
amv	אָחַר	ʾāḥar	V	to remain behind	main	אחר	a.cp.aa	309		68
amw	אַחֲרוֹן	ʾaḥărôn	A	coming after	sub		a.cp.ag	314		68f
amx	אַחְרַח	ʾaḥraḥ	Np	Aharah			a.cp.aj	315		
amy	אֲחַרְחֵל	ʾăḥarḥēl	Np	Aharhel			a.cp.ak	316		
amz	אַחֲרַי	ʾaḥăray	A	backwards	sub		a.cp.ad	310	b	68c
ana	אַחֲרִית	ʾaḥărît	N	after-part	sub		a.cp.ah	319		68g
